txn_id,account_id,counterparty_id,timestamp,amount,channel,txn_type,currency
TXN00000157,ACC004646,ACC002074,2026-09-14 15:40:01,236.25,atm,deposit,NAD
TXN00000273,ACC000474,ACC003261,2026-09-14 15:40:01,2728.7,mobile,payment,NAD
TXN00006256,ACC000297,ACC003755,2026-09-14 15:40:02,565.04,atm,payment,NAD
TXN00018494,ACC002428,ACC002218,2026-09-14 15:40:02,52.36,internet,withdrawal,NAD
TXN00004061,ACC003911,ACC002018,2026-09-14 15:40:02,1060.13,mobile,deposit,NAD
TXN00011357,ACC002241,ACC003551,2026-09-14 15:40:02,669.24,internet,deposit,NAD
TXN00014604,ACC003076,ACC000270,2026-09-14 15:40:02,137.06,internet,transfer,NAD
TXN00016299,ACC002430,ACC001791,2026-09-14 15:40:02,592.41,atm,transfer,NAD
TXN00032755,ACC003323,ACC002273,2026-09-14 15:40:02,73.92,atm,withdrawal,NAD
TXN00013190,ACC001707,ACC002947,2026-09-14 15:40:02,276.63,internet,transfer,NAD
TXN00027160,ACC003454,ACC004455,2026-09-14 15:40:02,874.76,mobile,payment,NAD
TXN00007501,ACC000155,ACC001250,2026-09-14 15:40:02,970.75,internet,deposit,NAD
TXN00018264,ACC002205,ACC003897,2026-09-14 15:40:02,84.44,mobile,payment,NAD
TXN00023460,ACC003369,ACC001269,2026-09-14 15:40:02,262.16,atm,deposit,NAD
TXN00008141,ACC002844,ACC001630,2026-09-14 15:40:02,119.7,internet,transfer,NAD
TXN00011919,ACC003867,ACC004827,2026-09-14 15:40:02,1923.34,atm,deposit,NAD
TXN00023332,ACC001570,ACC001750,2026-09-14 15:40:02,213.38,atm,withdrawal,NAD
TXN00003416,ACC004242,ACC003218,2026-09-14 15:40:02,550.71,internet,withdrawal,NAD
TXN00005953,ACC000417,ACC003270,2026-09-14 15:40:02,243.4,internet,withdrawal,NAD
TXN00016075,ACC000060,ACC004179,2026-09-14 15:40:02,345.2,branch,transfer,NAD
TXN00030217,ACC003215,ACC004628,2026-09-14 15:40:02,299.91,branch,withdrawal,NAD
TXN00007094,ACC001759,ACC004859,2026-09-14 15:40:02,45.99,internet,withdrawal,NAD
TXN00030226,ACC000833,ACC002566,2026-09-14 15:40:02,75.21,atm,payment,NAD
TXN00027044,ACC004089,ACC001939,2026-09-14 15:40:02,215.93,internet,withdrawal,NAD
TXN00004770,ACC002625,ACC003134,2026-09-14 15:40:02,1205.54,atm,withdrawal,NAD
TXN00000833,ACC001926,ACC004799,2026-09-14 15:40:02,984.53,internet,payment,NAD
TXN00032660,ACC001082,ACC000883,2026-09-14 15:40:02,501.93,mobile,transfer,NAD
TXN00022231,ACC002888,ACC003785,2026-09-14 15:40:02,108.17,branch,payment,NAD
TXN00023265,ACC001336,ACC000386,2026-09-14 15:40:02,353.09,branch,withdrawal,NAD
TXN00018611,ACC001686,ACC004747,2026-09-14 15:40:02,354.79,mobile,payment,NAD
TXN00030288,ACC004518,ACC004015,2026-09-14 15:40:02,626.8,internet,payment,NAD
TXN00026368,ACC001596,ACC004704,2026-09-14 15:40:02,2563.49,atm,transfer,NAD
TXN00001102,ACC002668,ACC001649,2026-09-14 15:40:02,2316.21,internet,payment,NAD
TXN00018583,ACC004385,ACC004218,2026-09-14 15:40:02,1122.91,atm,transfer,NAD
TXN00003480,ACC004529,ACC001287,2026-09-14 15:40:02,19.37,atm,transfer,NAD
TXN00016408,ACC000150,ACC003970,2026-09-14 15:40:02,1189.05,mobile,transfer,NAD
TXN00032624,ACC004105,ACC002836,2026-09-14 15:40:02,450.39,atm,deposit,NAD
TXN00020344,ACC002220,ACC002704,2026-09-14 15:40:02,4641.31,internet,transfer,NAD
TXN00026156,ACC003401,ACC000088,2026-09-14 15:40:02,2546.81,mobile,withdrawal,NAD
TXN00027864,ACC004181,ACC001579,2026-09-14 15:40:02,1266.65,atm,deposit,NAD
TXN00003106,ACC000684,ACC003883,2026-09-14 15:40:02,227.8,atm,transfer,NAD
TXN00017349,ACC003121,ACC001678,2026-09-14 15:40:02,34.44,branch,deposit,NAD
TXN00026185,ACC004780,ACC001306,2026-09-14 15:40:02,299.77,atm,withdrawal,NAD
TXN00013958,ACC001324,ACC004833,2026-09-14 15:40:02,131.52,branch,withdrawal,NAD
TXN00004423,ACC001564,ACC001394,2026-09-14 15:40:02,914.93,atm,payment,NAD
TXN00027478,ACC000931,ACC000831,2026-09-14 15:40:02,4840.72,mobile,withdrawal,NAD
TXN00002953,ACC003840,ACC002564,2026-09-14 15:40:02,634.68,mobile,withdrawal,NAD
TXN00014198,ACC000906,ACC003218,2026-09-14 15:40:02,107.95,branch,deposit,NAD
TXN00013990,ACC000069,ACC000859,2026-09-14 15:40:02,468.83,internet,withdrawal,NAD
TXN00031877,ACC002306,ACC001006,2026-09-14 15:40:02,2419.65,internet,transfer,NAD
